sample_id,species,wn_1000,wn_1020,wn_1050,wn_1100,wn_1160,wn_1200,wn_1300,wn_1400,wn_1450,wn_1550,wn_1650,wn_1700,wn_1750,wn_2800,wn_2850,wn_2900,wn_2950,wn_3000,wn_3200,wn_3300,wn_3400,wn_3500
FTIR_S001,Porphyridium purpureum,82.3058772775388,55.8014385907604,81.47256921568408,73.80470194940429,70.10198864514874,53.78950553611125,67.31970997637467,67.17388698827928,51.66123348541745,78.27438614107778,53.814848430114026,76.67775537797333,89.80256474842409,50.777388463099406,88.91551647051959,72.38171990125849,75.59835207309332,48.87374530803552,48.166618394011664,70.28475310632143,65.07150743226185,51.999941085561865
FTIR_S002,Spirulina platensis,79.32687788799932,86.96153291086513,86.45562087991307,75.86708940668812,85.91662092523408,53.168382128749144,55.62664454875375,49.41667830826018,64.63826487531897,68.25957164472092,60.70994102779517,85.15656616186122,72.07071226011301,66.48142759752307,79.0756703775517,58.71304213192244,82.01622715194169,56.111313058818844,84.2359872558412,82.53359578061675,58.122721397843236,49.62286998401236
FTIR_S003,Nannochloropsis gaditana,69.83224293258932,75.78249788630896,55.827282654978625,71.67780772551285,75.4838748810405,57.815776074358496,85.90016837150948,72.31991034929578,76.82515196408559,84.0790568638135,70.7909625859772,64.35282849504134,54.18880371318726,68.20662992814609,60.37336451310647,64.55118897588098,83.81455611571823,63.88863213764924,54.754762086424996,64.94171819316846,86.11296299112519,60.402529712096985
FTIR_S004,Chlorella vulgaris,57.7436271582113,58.895663693684,68.01160382643006,88.78189513201266,61.309245295199354,74.42369326336723,80.91970448235696,62.11978726826084,75.91368747535192,65.08059302583473,75.81199881224003,76.90483417399041,68.95708594123417,50.97067757600778,84.45598295480332,70.69012969731517,69.41345402078042,59.06756637123443,72.2756682843727,77.56708186801332,51.24965810371161,69.0550194959185
FTIR_S005,Spirulina platensis,57.68365675222996,70.23503646183087,75.53402291158551,77.04339521059039,58.523846807770695,79.91516984208562,60.436438749019096,62.870330101056965,78.16606876858415,72.95562151251686,83.07590651563308,78.01731328066069,78.67371708720523,57.14003257883152,70.51758244317402,61.37872946672669,57.991870862761076,89.22787240198888,65.8403264235624,83.39592161142329,75.96111976058708,82.91402119440241
FTIR_S006,Chlorella vulgaris,51.48177768461833,79.20849161007276,71.03022819303638,63.41405175476315,66.69594683553697,61.28566665921388,73.67774481046355,54.13981241085296,53.53493408985598,73.63730373503523,57.556569190159436,51.865202108490855,69.05731667707447,51.16285804355577,83.99930155541871,63.33745206771354,86.48720723878263,73.45446849053691,76.14414543363458,63.44051040918343,55.9707178492623,90.93705268637295
FTIR_S007,Prorocentrum lima,74.59391376488719,73.80750938552237,64.28349118155589,90.84113884083024,79.25905237475132,71.24283255794694,74.58584765398778,71.47999635401224,60.71919059758735,66.0583834959701,79.90892936691166,50.697532759424554,55.937231013850734,52.09229533651817,47.83439812778149,86.77950488379521,76.91604701965828,73.18958844672551,55.287063451571996,69.80657983595279,69.8175251114295,56.71107901927358
FTIR_S008,Dunaliella tertiolecta,61.48901501385482,62.0143659468983,57.84803922302891,63.994916363200375,53.645876583146844,75.1881124498928,60.39403835815121,76.9550446219043,67.70460790957196,78.98027607648852,62.3712670394933,57.74376652132941,69.18955188977327,84.22358459985279,60.843466280933896,85.78045588125445,52.351536846491044,66.46879077343579,88.30281226934777,75.96831732592551,65.23231780824878,72.71225025458814
FTIR_S009,Tetraselmis subcordiformis,60.78635425668594,63.610681689511914,74.00456956008689,77.2800536287541,80.22627330652908,81.15783140835846,54.27005925314362,72.72752462200236,54.01766964706981,71.66127823302257,67.62318763912971,83.50310858105638,63.99957423009837,54.105363379263956,56.36510440278961,78.80596338159424,75.76741556113278,57.11038487091677,53.146751947686184,78.8421887025627,54.29080823798997,82.07196142784258
FTIR_S010,Prorocentrum lima,66.83707735771266,80.6095110281158,90.04147537745307,70.15850123914359,60.20255442128335,50.61919059306139,85.38926277288077,84.08893896352963,59.47286112156324,74.49621008315324,56.47287713845929,53.66341454753873,57.37976526485815,60.972647959883375,93.20262493038607,74.41637161370423,65.65217343900393,81.55834516361003,85.99068745979905,86.00846223197183,52.09858598160218,68.83507446411015
FTIR_S011,Chlorella vulgaris,65.06628686422944,79.13106732191405,68.27050445646161,82.9834367069609,74.63740380726026,51.4018209225025,52.300300305343804,58.03826176063716,45.32930257371114,51.704191846450335,78.85606023843891,73.79948114854389,80.40265707469189,86.62577554890453,76.62713821946548,88.66509703413213,92.32829088239475,77.91683525299526,60.3637312974563,61.639011888288366,61.78983861255753,60.782119681233105
FTIR_S012,Porphyridium purpureum,71.87965013301587,77.93580362289651,79.12754145398777,69.38208603722796,82.67718162941688,82.84733523863112,52.177719497773275,51.68092283812865,78.19808030562952,68.65980991803247,59.93729955456473,72.61171718402277,62.91320576154951,69.85318269792565,67.15428999223577,72.8434247509582,69.94052549040104,77.51225960617023,54.75058488557573,77.94338918333392,66.82270542582326,85.0439751138776
